Question,Answer,Type
15厘米3毫米 = ? 毫米,153,單位轉換
11和2的最小公倍數是？,22,數論
24的因數有哪些？,"1,2,3,4,6,8,12,24",因數
24的因數有哪些？,"1,2,3,4,6,8,12,24",因數
25的65倍是多少？,1625,乘法
207 - 191 = ?,16,減法
158 ÷ 2 = ?,79,除法
在 81179 中，數字「7」表示的數值是？,70,位值
在○裡填上 + 或 - 或 =：5/9 ? 1/9 (A.: B.> C.√ D.<),B,分數(選擇)
每件91元，買5件共需付多少元？,455元,金錢
560 - 254 = ?,306,減法
06:23 出發，經過45分鐘後到達，到達時間是？,07:08,時間計算
78 ÷ 4 = ?,19...2,除法
307 - 195 = ?,112,減法
早餐從飲品3種、主食3種中各選一種，共有多少種組合？,9,組合
一個長方形有多少組平行線？,2,幾何
33的50倍是多少？,1650,乘法
07:32 出發，經過30分鐘後到達，到達時間是？,08:02,時間計算
貨倉原有飲料1910支，上午賣出1262支，下午運來783支，現在共有多少支？,1431,四則運算
938 - 805 = ?,133,減法
13米77厘米 = ? 厘米,1377,單位轉換
53的10倍是多少？,530,乘法
181 + 270 = ?,451,加法
19公斤340克 = ? 克,19340,單位轉換
1932 ÷ 46 = ?,42,除法
家中有果65個。媽媽吃了5個後，小文吃了餘下的1/2，現在還剩下多少個果？,30,四則運算
65 + 129 = ?,194,加法
110 + 98 = ?,208,加法
81 × 25 = ?,2025,乘法
6319 ÷ 71 = ?,89,除法
4 × 54 = ?,216,乘法
小明有566元，買文具用去186元，媽媽又給他257元，現在有多少元？,637,四則運算
378 + 52 = ?,430,加法
11小時52分 = ? 分,712,單位轉換
24的因數有哪些？,"1,2,3,4,6,8,12,24",因數
39 × 39 = ?,1521,乘法
在 84099 中，數字「8」表示的數值是？,80000,位值
一個梯形有多少組平行線？,1,幾何
一年有31天的月份有幾個？ (A.0 B.1 C.17 D.7),D,常識(選擇)
405 + 297 = ?,702,加法
11172 ÷ 84 = ?,133,除法
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
18:40 出發，經過60分鐘後到達，到達時間是？,19:40,時間計算
在○裡填上 + 或 - 或 =：3/4 ? 2/4 (A.< B.: C.> D.√),C,分數(選擇)
每件141元，買6件共需付多少元？,846元,金錢
41 × 75 = ?,3075,乘法
18厘米7毫米 = ? 毫米,187,單位轉換
4625 ÷ 37 = ?,125,除法
面向西方，右轉3個直角，現在面向哪一方？ (A.C B.南方 C.B D.A),B,方向(選擇)
90 × 58 = ?,5220,乘法
3395 ÷ 44 = ?,77...7,除法
"按 東,南,西,北 次序輪流進行，第78次是什麼？ (A.東方 B.北方 C.南方 D.南)",D,週期(選擇)
84 + 247 = ?,331,加法
"按 紅,黃,藍,綠 次序輪流進行，第68次是什麼？ (A.B B.綠 C.A D.C)",B,週期(選擇)
