Question,Answer,Type
36 × 25 + 239 = ?,1139,混合運算
203 - 129 = ?,74,減法
60 × 90 = ?,5400,乘法
貼紙每張39元，小美有48元，最多可買幾張？還剩幾元？,1...9,除法
643 - 227 = ?,416,減法
李叔叔每天做12個零件，12天可以做多少個零件？,144,四則應用
在 80330 中，數字「3」表示的數值是？,300,位值
每件59元，買2件共需付多少元？,118元,金錢
鉛筆每枝46元，買5枝，共要付多少元？,230,乘法
甲地到乙地300公里，去程用了5小時，回程用了6小時，回程平均速率是多少km/h？,50,速率
(94 + 76) × 2 = ?,340,混合運算
貼紙每張19元，小美有82元，最多可買幾張？還剩幾元？,4...6,除法
4公斤333克 = 多少克？,4333,單位轉換
每件文具91元，小華買了4件，付了387元，應找回多少元？,23,四則應用
幾個人合買一份714元的禮物，每人平均要付多少元？還剩多少元？,178...2,四則應用
377 + 358 = ?,735,加法
每件93元，買3件，付311元，應找回多少元？,32元,金錢
在○裡填上 >、< 或 =：4/12 ? 11/12,<,分數比較
160 + 158 - 182 = ?,136,混合運算
甲地到乙地300公里，去程用了5小時，回程用了3小時，回程平均速率是多少km/h？,100,速率
把104個蘋果平均分給6個小朋友，每人得幾個？餘幾個？,17...2,除法
每個盒子可放7件蛋糕，現有70件，最少要用多少個盒子？,10,除法
一個電器首期付52元，之後每期付25元，共6期，總售價多少元？,202元,金錢
除數是3，商是20，餘數是1，被除數是多少？,61,除法
除數是3，商是13，餘數是1，被除數是多少？,40,除法
把56個蘋果平均分給8個小朋友，每人得幾個？,7,除法
06:10 出發，經過75分鐘後到達，到達時間是？,07:25,時間計算
爸爸今年45歲，3年後爸爸多少歲？,48,四則應用
父親今年27歲，兒子今年9歲，多少年前父親的年齡是兒子的4倍？,3,年齡
貨倉原有飲料1739支，上午賣出1584支，下午運來226支，現在共有多少支？,381,四則應用
每件149元，買8件共需付多少元？,1192元,金錢
195 + 401 - 406 = ?,190,混合運算
一個長方形花圃，長20米，寬15米，圍欄長多少米？,70,周長計算
小明有331元，買文具用去174元，媽媽又給他206元，現在有多少元？,363,四則應用
電影從02:14開始，到03:14結束，放映了多少分鐘？,60,時間長短
(23 + 90) × 4 = ?,452,混合運算
(39 + 27) × 8 = ?,528,混合運算
貼紙每張28元，小美有71元，最多可買幾張？還剩幾元？,2...15,除法
父親今年50歲，兒子今年20歲，多少年前父親的年齡是兒子的4倍？,10,年齡
79 × 86 = ?,6794,乘法
有117個蘋果，每5個裝一袋，可以裝多少袋？餘下幾個？,23...2,分組
(12 + 72) × 6 = ?,504,混合運算
(13 + 30) × 2 = ?,86,混合運算
一個長方形花圃，長9米，寬11米，圍欄長多少米？,40,周長計算
694 - 497 = ?,197,減法
除數是3，商是10，餘數是1，被除數是多少？,31,除法
23:52 出發，經過75分鐘後到達，到達時間是？,01:07,時間計算
有134個蘋果，每8個裝一袋，可以裝多少袋？餘下幾個？,16...6,分組
每個盒子可放15件蛋糕，現有33件，最少要用多少個盒子？,3,除法
除數是8，商是6，餘數是4，被除數是多少？,52,除法
每件62元，買8件共需付多少元？,496元,金錢
主食有2種，飲品有2種，各選一種共有多少種搭配？,4,組合
在 42229 中，數字「9」表示的數值是？,9,位值
383 + 272 - 498 = ?,157,混合運算
(28 + 41) × 7 = ?,483,混合運算
10和9的最小公倍數是多少？,90,數論
723 - 432 = ?,291,減法
(13 + 74) × 3 = ?,261,混合運算
130 + 430 - 426 = ?,134,混合運算
貼紙每張10元，小美有36元，最多可買幾張？還剩幾元？,3...6,除法
鉛筆每枝16元，買12枝，共要付多少元？,192,乘法
有24個蘋果，每4個裝一袋，可以裝多少袋？,6,分組
把29個蘋果平均分給9個小朋友，每人得幾個？餘幾個？,3...2,除法
每個盒子可放9件蛋糕，現有32件，最少要用多少個盒子？,4,除法
有37個蘋果，每6個裝一袋，可以裝多少袋？餘下幾個？,6...1,分組
14:12 出發，經過45分鐘後到達，到達時間是？,14:57,時間計算
貨倉原有飲料868支，上午賣出500支，下午運來629支，現在共有多少支？,997,四則應用
小明有348元，買文具用去59元，媽媽又給他282元，現在有多少元？,571,四則應用
有27個蘋果，每4個裝一袋，可以裝多少袋？餘下幾個？,6...3,分組
07:00 出發，經過20分鐘後到達，到達時間是？,07:20,時間計算
一個正方形有多少組平行線？,2,幾何
一個長方形花圃，長12米，寬13米，圍欄長多少米？,50,周長計算
把165個蘋果平均分給7個小朋友，每人得幾個？餘幾個？,23...4,除法
貼紙每張15元，小美有31元，最多可買幾張？還剩幾元？,2...1,除法
一個長方形花圃，長12米，寬6米，圍欄長多少米？,36,周長計算
62 - 19 = ?,43,減法
一個梯形有多少組平行線？,1,幾何
一個電器首期付86元，之後每期付27元，共3期，總售價多少元？,167元,金錢
12 + 436 = ?,448,加法
甲地到乙地60公里，去程用了6小時，回程用了3小時，回程平均速率是多少km/h？,20,速率
在 19422 中，數字「4」表示的數值是？,400,位值
540 - 140 = ?,400,減法
每個盒子可放14件蛋糕，現有55件，最少要用多少個盒子？,4,除法
4公里376米 = 多少米？,4376,單位轉換
(98 + 67) × 8 = ?,1320,混合運算
一個電器首期付127元，之後每期付30元，共3期，總售價多少元？,217元,金錢
110 + 486 - 559 = ?,37,混合運算
(14 + 81) × 3 = ?,285,混合運算
每件34元，買5件，付259元，應找回多少元？,89元,金錢
535 - 448 = ?,87,減法
7厘米4毫米 = 多少毫米？,74,單位轉換
一個平行四邊形有多少組平行線？,2,幾何
把153個蘋果平均分給4個小朋友，每人得幾個？餘幾個？,38...1,除法
每個盒子可放4件蛋糕，現有22件，最少要用多少個盒子？,6,除法
貨倉原有飲料1886支，上午賣出1256支，下午運來303支，現在共有多少支？,933,四則應用
有148個蘋果，每3個裝一袋，可以裝多少袋？餘下幾個？,49...1,分組
每件51元，買6件，付343元，應找回多少元？,37元,金錢
(46 + 29) × 6 = ?,450,混合運算
在 59074 中，數字「7」表示的數值是？,70,位值
鉛筆每枝39元，買3枝，共要付多少元？,117,乘法
每個盒子可放12件蛋糕，現有115件，最少要用多少個盒子？,10,除法
94 × 86 = ?,8084,乘法
貼紙每張6元，小美有66元，最多可買幾張？,11,除法
貼紙每張47元，小美有35元，最多可買幾張？還剩幾元？,0...35,除法
02:20 出發，經過90分鐘後到達，到達時間是？,03:50,時間計算
鉛筆每枝47元，買12枝，共要付多少元？,564,乘法
一個梯形有多少組平行線？,1,幾何
爸爸今年38歲，3年後爸爸多少歲？,41,四則應用
父親今年23歲，兒子今年11歲，多少年前父親的年齡是兒子的3倍？,5,年齡
740 - 538 = ?,202,減法
在 29200 中，數字「2」表示的數值是？,20000,位值
16公里490米 = 多少米？,16490,單位轉換
一個長方形花圃，長14米，寬11米，圍欄長多少米？,50,周長計算
一個長方形花圃，長7米，寬9米，圍欄長多少米？,32,周長計算
6和6的最小公倍數是多少？,6,數論
家中有果51個。媽媽吃了3個後，小文吃了餘下的3/6，現在還剩下多少個果？,24,四則應用
20:48 出發，經過120分鐘後到達，到達時間是？,22:48,時間計算
爸爸今年40歲，2年後爸爸多少歲？,42,四則應用
在○裡填上 >、< 或 =：2/7 ? 4/7,<,分數比較
貼紙每張23元，小美有29元，最多可買幾張？還剩幾元？,1...6,除法
主食有2種，飲品有3種，各選一種共有多少種搭配？,6,組合
在 21032 中，數字「3」表示的數值是？,30,位值
鉛筆每枝3元，買6枝，共要付多少元？,18,乘法
除數是8，商是11，餘數是2，被除數是多少？,90,除法
電影從02:18開始，到03:48結束，放映了多少分鐘？,90,時間長短
幾個人合買一份713元的禮物，每人平均要付多少元？還剩多少元？,237...2,四則應用
224 + 340 - 445 = ?,119,混合運算
每個盒子可放9件蛋糕，現有60件，最少要用多少個盒子？,7,除法
4公里83米 = 多少米？,4083,單位轉換
在 64936 中，數字「6」表示的數值是？,60000,位值
26 × 34 = ?,884,乘法
貼紙每張26元，小美有28元，最多可買幾張？還剩幾元？,1...2,除法
91 - 76 = ?,15,減法
一個電器首期付205元，之後每期付51元，共6期，總售價多少元？,511元,金錢
電影從19:13開始，到21:43結束，放映了多少分鐘？,150,時間長短
在 40606 中，數字「6」表示的數值是？,600,位值
甲地到乙地120公里，去程用了4小時，回程用了8小時，回程平均速率是多少km/h？,15,速率
爸爸今年44歲，7年後爸爸多少歲？,51,四則應用
12和9的最小公倍數是多少？,36,數論
小明有510元，買文具用去340元，媽媽又給他151元，現在有多少元？,321,四則應用
每件182元，買1件共需付多少元？,182元,金錢
49的2倍是多少？,98,倍數
爸爸今年30歲，6年後爸爸多少歲？,36,四則應用
主食有5種，飲品有2種，各選一種共有多少種搭配？,10,組合
把46個蘋果平均分給3個小朋友，每人得幾個？餘幾個？,15...1,除法
每件文具111元，小華買了3件，付了418元，應找回多少元？,85,四則應用
在○裡填上 >、< 或 =：3/9 ? 5/9,<,分數比較
23:30 出發，經過120分鐘後到達，到達時間是？,01:30,時間計算
694 - 209 = ?,485,減法
一個長方形花圃，長14米，寬7米，圍欄長多少米？,42,周長計算
除數是5，商是29，餘數是1，被除數是多少？,146,除法
有105個蘋果，每3個裝一袋，可以裝多少袋？,35,分組
除數是5，商是21，餘數是1，被除數是多少？,106,除法
62 × 50 = ?,3100,乘法
每件17元，買5件，付130元，應找回多少元？,45元,金錢
15:26 出發，經過120分鐘後到達，到達時間是？,17:26,時間計算
(74 + 91) × 6 = ?,990,混合運算
99 - 21 = ?,78,減法
有43個蘋果，每3個裝一袋，可以裝多少袋？餘下幾個？,14...1,分組
